id,group,avg_bout_length_sec_drink,avg_bout_length_sec_food motivated,avg_bout_length_sec_groom,avg_bout_length_sec_move/explore,avg_bout_length_sec_move/explore - shelter,avg_bout_length_sec_rest/groom in shelter,max_bout_length_sec_drink,max_bout_length_sec_food motivated,max_bout_length_sec_groom,max_bout_length_sec_move/explore,max_bout_length_sec_move/explore - shelter,max_bout_length_sec_rest/groom in shelter,n_bouts_drink,n_bouts_food motivated,n_bouts_groom,n_bouts_move/explore,n_bouts_move/explore - shelter,n_bouts_rest/groom in shelter
1615,lira_sd,0.0,19.691692307692307,9.8896,13.725263157894737,1.8786666666666667,56.71654320987655,0.0,198.88,53.56,64.12,3.76,656.24,0.0,65.0,25.0,38.0,30.0,81.0
1615,saline_lira,11.0575,23.089615384615385,10.748,23.470588235294116,2.2227450980392156,33.10333333333333,31.8,297.8,50.24,98.6,6.56,879.2,16.0,104.0,20.0,51.0,51.0,72.0
1627,dan_hfd_light,0.0,9.376,0.0,4.84,1.8892307692307693,146.23829787234044,0.0,20.16,0.0,5.92,4.44,1100.4,0.0,5.0,0.0,2.0,13.0,47.0
1627,dan_sd_light,0.0,23.46,0.0,6.373333333333334,1.96,254.62666666666667,0.0,88.56,0.0,8.84,4.08,3601.4,0.0,10.0,0.0,3.0,10.0,27.0
1627,veh_hfd_light,0.0,46.276,0.0,5.44,1.5619999999999998,147.87466666666668,0.0,160.44,0.0,5.44,3.36,1099.36,0.0,10.0,0.0,1.0,20.0,45.0
1627,veh_sd_light,0.0,0.0,0.0,0.0,1.6742857142857142,238.35333333333332,0.0,0.0,0.0,0.0,2.84,1485.2,0.0,0.0,0.0,0.0,7.0,30.0
1628,dan_hfd_light,0.0,18.265,5.5,9.636666666666667,1.9830769230769232,96.84869565217392,0.0,43.68,15.96,23.36,4.04,1058.6,0.0,8.0,6.0,12.0,26.0,69.0
1628,dan_sd_light,0.0,14.79,4.43,10.43,1.87,108.99936507936508,0.0,31.12,7.96,17.84,3.36,925.68,0.0,8.0,4.0,4.0,16.0,63.0
1628,veh_hfd_light,12.42,39.7936,3.6,6.113333333333333,1.641081081081081,68.19529411764707,29.24,108.52,3.6,13.68,2.88,810.48,6.0,25.0,1.0,12.0,37.0,85.0
1628,veh_sd_light,14.34,26.131999999999998,14.158,6.728421052631579,1.9260377358490566,37.3320245398773,26.6,83.28,41.32,15.76,7.2,622.92,2.0,10.0,20.0,19.0,53.0,163.0
1710,LiCl,5.96,11.053333333333333,8.692444444444444,43.77897435897435,1.7093333333333334,47.77142857142857,12.96,80.28,30.68,266.44,3.52,372.36,9.0,18.0,45.0,78.0,30.0,56.0
1710,orfo,9.04,29.015555555555558,6.5120000000000005,40.09859649122807,2.0745454545454547,27.807111111111112,18.8,138.56,10.6,168.04,6.24,533.0,13.0,18.0,5.0,114.0,22.0,45.0
1710,saline_licl,5.2,15.093333333333332,11.044705882352941,68.6980281690141,2.135686274509804,29.04695652173913,9.88,48.48,41.56,272.08,6.6,637.88,8.0,15.0,17.0,71.0,51.0,46.0
1710,saline_orfo,5.635294117647058,16.246153846153845,4.571428571428572,54.08468085106383,1.8606060606060606,14.830344827586208,11.32,81.16,17.8,238.48,7.6,114.84,17.0,52.0,14.0,94.0,33.0,29.0
1788,orfo,5.367000000000001,21.7075,3.4327272727272726,22.545,1.7746031746031747,24.27168316831683,22.76,137.08,6.44,153.88,5.64,691.8,40.0,32.0,11.0,88.0,63.0,101.0
1788,saline_orfo,4.872631578947368,15.09578947368421,4.64,34.640701754385965,1.8693577981651375,25.421068702290075,12.56,53.68,5.0,265.28,6.56,717.4,38.0,38.0,2.0,57.0,109.0,131.0
